GP,PPG,RPG,APG,SPG,BPG,TOPG,FGP,FTP,3PP,FGAPG,FTAPG,3PAPG,ORPG,DRPG,PAPG,S10,WPCT,GPA,PPGA,RPGA,APGA,SPGA,BPGA,TOPGA,FGPA,FTPA,3PPA,FGAPGA,FTAPGA,3PAPGA,ORPGA,DRPGA,PAPGA,S10A,WPCTA,result
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,24.0,73.2,39.0,11.3,5.9,3.2,13.8,42.8,74.5,33.7,60.708333333333336,17.666666666666668,23.708333333333332,11.0,28.0,72.25,0.3,0.45,1
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,28.0,74.9,33.4,15.9,4.6,2.3,9.7,49.1,77.7,39.1,55.32142857142857,13.142857142857142,26.428571428571427,7.107142857142857,26.321428571428573,62.208333333333336,1.0,0.75,0
20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,25.0,72.0,34.8,14.0,7.1,2.7,13.2,43.7,69.8,37.9,58.8,16.04,24.88,10.36,24.44,72.54545454545455,0.5,0.4090909090909091,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,20.0,65.7,35.3,13.3,6.5,2.5,16.9,44.4,65.2,31.4,56.3,16.8,15.15,10.3,24.95,68.5,0.6,0.4,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,22.0,65.9,37.8,11.4,5.3,2.8,14.0,40.4,63.7,32.7,58.04545454545455,19.90909090909091,19.181818181818183,12.818181818181818,24.954545454545453,70.80952380952381,0.2,0.38095238095238093,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,27.0,66.4,35.0,11.3,6.6,3.9,12.6,42.5,70.0,29.5,56.44444444444444,18.51851851851852,18.814814814814813,9.481481481481481,25.48148148148148,70.96296296296296,0.3,0.37037037037037035,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,26.0,73.6,32.6,15.0,8.4,4.0,14.6,43.0,66.6,33.5,61.69230769230769,15.076923076923077,31.384615384615383,9.73076923076923,22.884615384615383,78.22727272727273,0.0,0.3181818181818182,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,26.0,71.5,37.1,12.5,8.1,3.9,14.4,44.7,63.5,31.9,59.07692307692308,17.807692307692307,23.384615384615383,11.884615384615385,25.192307692307693,70.36363636363636,0.3,0.36363636363636365,1
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,0
18.0,71.8,38.9,13.7,7.4,4.3,14.7,42.9,66.4,29.3,62.55555555555556,15.055555555555555,27.72222222222222,11.555555555555555,27.333333333333332,70.5625,0.5,0.5,20.0,74.3,30.4,15.8,7.2,2.1,11.1,51.5,74.5,37.4,54.6,15.7,17.1,7.95,22.45,68.27777777777777,0.8,0.6111111111111112,0
